Source,Target
Abadar's Vault,阿巴达尔的宝库
Abandoned Storeroom,废弃储藏室
Dragon's Lair,巨龙巢穴
Forgotten Crypt,被遗忘的墓穴
Kobold Loot,狗头人宝藏
Spider's Lair,蜘蛛巢穴
Zolgran's Treasure,佐尔甘的宝藏
Small Bag,小袋子
Cinder Rat,煤渣鼠
Giant Rat,巨鼠
Giant Spider,巨蜘蛛
Kobold Scout,狗头人斥候
Kobold Warrior,狗头人战士
Skeleton Guard,骷髅守卫
Xulgath Warrior,地蜥人战士
Zombie Shambler,蹒跚丧尸
Elemental Aid,元素之助
Ocean's Might,海洋之力
Saltwater Sickness,海水恶心
Belt of Good Health,健康腰带
Healing Potion,治疗药水
Polished Shield,抛光盾牌
Scroll of 1st-level Spell,1环级法术卷轴
Smoking Sword,冒烟的剑
Cleric Equipment,牧师装备
Fighter Equipment,战士装备
Rogue Equipment,游荡者装备
Wizard Equipment,法师装备
Beginner's Guide,新手指南
Creatures,生物
Hazards,危害
Heroes,英雄
Treasure,宝藏
Effects,效果
Items,物品
Ambience,环境音
Sound Effects,效果音
Artwork Handouts,插画资料
Gamemastering,主持游戏
Getting Started,开始
Informational Boxes,信息栏
Differences,不同点
Audio and Playlists,音频和播放列表
Being a Gamemaster,作为主持人
Preparing an Adventure,准备一场冒险
Creating Your Hero,创建你的角色
Character Creation,角色创建
Step By Step,一步一步来
Pregenerated Heroes,预设英雄
Leveling Up,升级
Finishing your Hero,完成你的英雄
Game Mechanics,游戏机制
Actions,动作
Areas,区域
Carrying and using Items,携带并使用物品
Currency and Expenses,货币和出费
"Hit Points, Healing, and Dying",生命值，治疗和死亡
Movement,移动
What's a Roleplaying Game?,什么是角色扮演游戏
Basic Concepts,基础概念
Damage,伤害
Checks,检定
Attacks,攻击
Skills,技能
Skill Descriptions,技能详述
Saving Throws,豁免
Hungry Rats,饥饿的巨鼠
Drop into Darkness,深入黑暗
The Spider’s Web,蛛网
The Barricade,路障
Forgotten Shrine,被遗忘的神龛
Trapped Hallway,陷阱走廊
Gold Puzzle,金币谜题
Abadar’s Vault,阿巴达尔的宝库
Kobolds and Traps,狗头人和陷阱
Kobold Lookouts,还是狗头人和陷阱
Soggy Crossroads,浸水的路口
Elements of Chaos,混乱的元素
Xulgath Cave,地蜥人洞穴
Kobold Warren,狗头人宿舍
Dragonkeeper,守龙者
Mushroom Grotto,蘑菇洞穴
Setting the Scene,设置场景
Vignettes,插曲
A Wizard's Solution,一名法师的解答
Blazing Desert,炽热沙漠
Cleric Channeling,牧师导能
Defuse Device,解除装置
Desert Ruins,沙漠废墟
Dragon's Hoard,巨龙宝藏
Ezren the Merchant,商人艾兹伦
Ghostly Battle,幽灵之战
Harpy Ambush,鹰身女妖袭击
Merisiel and Kyra,梅瑞希尔和凯拉
Pitfall Trap,落穴陷阱
Placing Bets,下注
Serpent's Coils,蛇之盘绕
Shopping for Armour,选购盔甲
Spider Chase,蜘蛛追逐
Sudden Charge,迅速冲锋
Tending Wounds,护理伤口
Troll Battle,巨魔之战
Viper Surprise,蟒蛇突袭
Belt of Health,健康腰带
Dagger of Venom,剧毒匕首
Duelist's Wand,决斗者魔杖
Goggles of Night,夜视护目镜
Holy Water,圣水
Lion Shield,狮子盾
Mighty Spellbook,大部头法术书
Orichalcum Starknife,山铜星刃
Assorted Potions,各类药水
Spell Scroll,法术卷轴
Wand of Life,生命魔杖
NPC Gallery,NPC画廊
Carman Rajani,卡曼·拉贾尼
Yinyasmera,伊娜斯梅拉
Magiloy,玛吉洛
Vandy Banderdash,万蒂·班得黛西
Oloria Gallentine,奥罗瑞亚·加仑丁
Oseph Menhemes,欧瑟夫·曼尼姆斯
Morlibint,莫里宾特
Tamily Tanderveil,塔米莉·坦德威尔
Lardus Longsaddle,拉杜斯·长鞍
Keeleno Lathenar,基莱诺·拉瑟纳
Klorte Hengus,克洛特·亨格斯
Brelda Venkervale,布雷达·范克维尔
Wrin Sivinxi,瓦林·希温尼斯
Worliwynn,沃里温
Otari Gazetteer,奥塔里地理志
Story Seeds,故事的种子
