Target,Source
"d4, d6, d8, d10, d12, d20,和d100","d4, d6, d8, d10, d12, d20, and d100"
邪魔（特征）,daemon(trait)
每日准备,daily preparations
伤害,damage
黑暗,darkness
黑暗（特征）,darkness(trait)
黑暗视觉（感官）,darkvision(sense)
朝银（材料）,dawnsilver(material)
目眩（状态）,dazzled(condition)
致命（武器特征）,deadly(weapon trait)
耳聋（状态）,deafened(condition)
死亡（特征）,death(trait)
死亡与濒死,death and dying
衰弱,debilitation
欺骗（技能）,Deception(skill)
解译文书（技能动作）,Decipher Writing(skill action)
入门（特征）,dedication(trait)
防卫（探索行动）,Defend(exploration activity)
成功度,degrees of success
神祇,deity
延迟（基础动作）,Delay??(basic action)
恶魔（特征）,demon(trait)
挫败士气（技能动作）,Demoralize(skill action)
侦测魔法（探索行动）,Detect Magic(exploration activity)
侦测生物,detecting creatures
侦测（特征）,detection(trait)
魔鬼（特征）,devil(trait)
信徒增益,devotee benefits
敏捷（Dex）,Dexterity (Dex)
骰子,dice (singular “die”)
掷骰,die roll
困难地形,difficult terrain
困难等级（DC）,Difficulty Class (DC)
昏暗光照,dim light
恐龙（特征）,dinosaur(trait)
交涉（技能）,Diplomacy(skill)
身心障碍,disability
解除装置（技能动作）,Disable a Device??(skill action)
卸武（武器特征）,disarm(weapon trait)
卸武（技能动作）,Disarm?(skill action)
识破,disbelieve
疾病（特征）,disease(trait)
解消（特殊基础动作）,Dismiss??(specialty basic action)
解除,dispel
打断动作,disrupting actions
神术（特征）,divine(trait)
领域,domains
毁灭（状态）,doomed(condition)
休整（特征）,downtime(trait)
休整模式,downtime
拖拽物体和生物,dragging objects and creatures
龙类（特征）,dragon(trait)
流失（状态）,drained(condition)
取出物品,draw an item
半兽人（特征）；学名卓玛尔,dromaar(trait)
丢下物品,drop an item
趴下（基础动作）,Drop Prone(basic action)
溺水和窒息,drowning and suffocating
德鲁伊（职业）,druid(class)
德鲁伊（特征）,druid(trait)
重复效果,duplicate effects
持续时间,duration
矮人（特征）,dwarf(trait)
濒死（状态）,dying(condition)
赚取收入（技能动作）,Earn Income(skill action)
土（特征）,earth(trait)
典范,edict
效果,effect
电击（伤害类型）,electricity(damage type)
电击（特征）,electricity(trait)
元素（特征）,elemental(trait)
精灵（特征）,elf(trait)
灵药（特征）,elixir(trait)
弥漫（区域）,emanation(area)
情绪（特征）,emotion(trait)
遭遇,encounter
超载（状态）,encumbered(condition)
能量（伤害类型）,energy(damage type)
力竭（状态）,enfeebled(condition)
装备,equipment
逃脱（基础动作）,Escape(basic action)
灵界（特征）,ethereal(trait)
格拉利昂的种群,ethnicities of Golarion
经验值（XP）,Experience Points (XP)
专家（熟练度）,expert(proficiency rank)
探索（特征）,exploration(trait)
探索,exploration
异次元（特征）,extradimensional(trait)
失败,failure
坠落,falling
魔宠,familiar
迷魂（状态）,fascinated(condition)
快速治疗,fast healing
夺命（武器特征）,fatal(weapon trait)
疲乏（状态）,fatigued(condition)
恐惧（特征）,fear(trait)
专长,feat
虚招（技能动作）,Feint?(skill action)
精类（特征）,fey(trait)
魔族（特征）,fiend(trait)
战士（职业）,fighter(class)
战士（特征）,fighter(trait)
娴熟（武器特征）,finesse(weapon trait)
火焰（伤害类型）,fire(damage type)
火（特征）/火焰（特征）,fire(trait)
夹击,flanking
纯骰检定,flat check
逃跑（状态）,fleeing(condition)
柔韧（护甲特征）,flexible(armor trait)
绝技（特征）,flourish(trait)
飞行（特殊基础动作）,Fly??(specialty basic action)
聚能（特征）,focus(trait)
聚能点,Focus Point
跟随专家（探索行动）,Follow the Expert(exploration activity)
力场（伤害类型）,force(damage type)
力场（特征）,force(trait)
破拆（技能动作）,Force Open(skill action)
强迫移动,forced movement
叠劲（武器特征）,forceful(weapon trait)
配方,formula
强韧,Fortitude (Fort)
幸运（特征）,fortune(trait)
自由动作（）,free action (?)
不占手（武器特征）,free-hand(weapon trait)
频率,frequency
友善（状态）,friendly(condition)
惊惧（状态）,frightened(condition)
大失败,fumble
真菌（特征）,fungus(trait)
游戏管理,game conventions
游戏主持人（GM）,Game Master (GM)
巨型（体型）,Gargantuan(size)
搜集信息（技能动作）,Gather Information(skill action)
道具,gear
性别和代称,gender and pronouns
通用（特征）,general(trait)
巨人（特征）,giant(trait)
侏儒（特征）,gnome(trait)
地精（特征）,goblin(trait)
格拉利昂,Golarion
金币（gp）,gold piece (gp)
抓住边缘（特殊基础动作）,Grab an Edge??(specialty basic action)
受擒,grabbed(condition)
擒拿（武器特征）,grapple(weapon trait)
擒拿（技能动作）,Grapple?(skill action)
网格,grid
鬼婆（特征）,hag(trait)
半精灵,half-elf
半兽人,half-orc
半身人（特征）,halfling(trait)
硬度,Hardness
作祟（特征）,haunt(trait)
危害,hazard
有害地形,hazardous terrain
治疗,healing
治疗（特征）,healing(trait)
手持物品,held item
乐于帮助（状态）,helpful(condition)
传承,heritage
英雄点,Hero Point
英勇恢复,heroic recovery
巫术（特征）,hex(trait)
藏匿（状态）,hidden(condition)
躲藏（技能动作）,Hide??(skill action)
跳高（技能动作）,High Jump??(skill action)
生命值（HP）,Hit Points (HP)
屏息,holding your breath
圣洁（特征）,holy(trait)
敌对（状态）,hostile(condition)
敌对动作,hostile action
灰矮人（特征）,hryngar(trait)
超大型（体型）,Huge(size)
人类（特征）,human(trait)
类人生物（特征）,humanoid(trait)
强行军（探索行动）,Hustle(exploration activity)
辨识炼金术（技能动作）,Identify Alchemy(skill action)
辨识魔法（技能动作）,Identify Magic(skill action)
幻术（特征）,illusion(trait)
禁足（状态）,immobilized(condition)
免疫,immunity
乔装（技能动作）,Impersonate(skill action)
模糊感官,imprecise sense
失能（特征）,incapacitation(trait)
斜坡,incline
不关心（状态）,indifferent(condition)
吸入（特征）,inhaled(trait)
先攻,initiative
伤口（特征）,injury(trait)
内海地区,Inner Sea region
智力（Int）,Intelligence (Int)
交互（基础动作）,Interact??(basic action)
威吓（技能）,Intimidation(skill)
绑定物品（行动）,Invest an Item(activity)
调查（探索行动）,Investigate(exploration activity)
隐形（状态）,invisible(condition)
物品,item
骑战（武器特征）,jousting(weapon trait)
关键属性,key attribute
被击败,knocked out
语言,languages
大型（体型）,Large(size)
跳跃（基础动作）,Leap(basic action)
学习法术（技能动作）,Learn a Spell(skill action)
传奇（熟练度）,legendary(proficiency rank)
莱西（特征）,leshy(trait)
等级,level
说谎（技能动作）,Lie(skill action)
光亮（特征）,light(trait)
光亮与黑暗,light and darkness
线形（区域）,line(area)
效果线,line of effect
视觉线,line of sight
血脉（特征）,lineage(trait)
语言（特征）,linguistic(trait)
法器,locus
跳远（技能动作）,Long Jump??(skill action)
学识（技能）,Lore(skill)
昏暗视觉（感官）,low-light vision(sense)
魔法,magic
魔法（特征）,magical(trait)
魔法根源,magical tradition
建立印象（技能动作）,Make an Impression(skill action)
空中机动（技能动作）,Maneuver in Flight(skill action)
操作（特征）,manipulate(trait)
大师（熟练度）,master(proficiency rank)
机械（特征）,mechanical(trait)
医疗（技能）,Medicine(skill)
中型（体型）,Medium(size)
心灵（伤害类型）,mental(damage type)
心灵（特征）,mental(trait)
金（特征）,metal(trait)
无心智（特征）,mindless(trait)
仆从（特征）,minion(trait)
厄运（特征）,misfortune(trait)
游戏模式,mode of play
调整值,modifier
观察者（特征）,monitor(trait)
武僧（武器特征）,monk(weapon trait)
怪物,monster
化形（特征）,morph(trait)
坐骑,mount
骑乘?（特殊基础动作）,Mount??(specialty basic action)
骑乘战斗,mounted combat
移动（特征）,move(trait)
移动,movement
兼职（特征）,multiclass(trait)
多重攻击减值,multiple attack penalty
相乘,multiplying
狭窄表面,narrow surface
自然1，自然20,"natural 1, natural 20"
自然（技能）,Nature(skill)
异界裔（特征）,nephilim(trait)
嘈杂（护甲特征）,noisy(armor trait)
非致命（特征）,nonlethal(trait)
非玩家角色,nonplayer character (NPC)
物体,object
可见（状态）,observed(condition)
异能（特征）,occult(trait)
神秘,Occultism(skill)
措手不及（状态）,off-guard(condition)
油（特征）,oil(trait)
嗅觉（特征）,olfactory(trait)
潜伏期,onset
泥怪（特征）,ooze(trait)
兽人（特征）,orc(trait)
手上功夫（技能动作）,Palm an Object??(skill action)
麻痹（状态）,paralyzed(condition)
格挡（武器特征）,parry(weapon trait)
开拓者底线,Pathfinder baseline
开拓者协会,Pathfinder Society
减值,penalty
察觉,Perception
演出（技能动作）,Perform(skill action)
表演,Performance(skill)
持续伤害（状态）,persistent damage(condition)
石化（状态）,petrified(condition)
物理（伤害类型）,physical(damage type)
开锁（技能动作）,Pick a Lock?(skill action)
穿刺（伤害类型）,piercing(damage type)
位面,plane
植物（特征）,plant(trait)
白金币（pp）,platinum piece (pp)
玩家,player
玩家角色,player character (character or PC)
指出位置?（特殊基础动作）,Point Out??(specialty basic action)
毒素（伤害类型）,poison(damage type)
毒素（特征）,poison(trait)
变形（特征）,polymorph(trait)
占据（特征）,possession(trait)
药水（特征）,potion(trait)
精确感官,precise sense
精准（伤害类型）,precision(damage type)
预测（特征）,prediction(trait)
准备,preparations
先决条件,prerequisites
连携（特征）,press(trait)
价格,Price
原能（特征）,primal(trait)
熟练度,proficiency
倒地（状态）,prone(condition)
助进（武器特征）,propulsive(weapon trait)
迅捷（状态）,quickened(condition)
狂暴（特征）,rage(trait)
举起盾牌?（特殊基础动作）,Raise a Shield?(specialty basic action)
射程,range
远程摔绊（武器特征）,ranged trip(weapon trait)
游侠（职业）,ranger(class)
游侠（特征）,ranger(trait)
稀有（特征）,rare(trait)
稀有度,rarity
触及,reach
触及（武器特征）,reach(weapon trait)
反应动作（）,reaction ()
反应打击（）,Reaction Strike ()
准备（基础动作）,Ready(basic action)
回忆知识（技能动作）,Recall Knowledge(skill action)
复苏检定,recovery check
反射,Reflex (Ref)
再聚能（行动）,Refocus(activity)
再生,regeneration
地区,regions
放开（基础动作）,Release?(basic action)
宗教（技能）,Religion(skill)
装填,reload
修理（技能动作）,Repair(skill action)
复唱法术（探索行动）,Repeat a Spell(exploration activity)
移位,Reposition(skill action)
请求（技能动作）,Request(skill action)
需求,requirements
重骰,reroll
抗力,resistance
休息,rest
束缚（状态）,restrained(condition)
检定结果,result of a check
重训,retrain
揭示（特征）,revelation(trait)
仪式,ritual
游荡者（职业）,rogue(class)
游荡者（特征）,rogue(trait)
角色扮演,roleplaying
角色扮演游戏,roleplaying game (RPG)
取整,rounding
规则概览,rules overview
符文（魔法物品）,rune(magic item)
受祝（特征）,sanctified(trait)
豁免,save
豁免骰,saving throw (save)
灵敏嗅觉（感官）,scent(sense)
侦查（探索行动）,Scout(exploration activity)
卷轴（特征）,scroll(trait)
探知（特征）,scrying(trait)
搜寻（探索行动）,Search(exploration activity)
秘密（特征）,secret(trait)
搜索（基础动作）,Seek??(basic action)
辨别方向（技能动作）,Sense Direction(skill action)
察言观色（基础动作）,Sense Motive?(basic action)
感官,senses
服务,services
团期,session
阴影（特征）,shadow(trait)
盾牌,shields
劣质物品,shoddy items
推撞（武器特征）,shove(weapon trait)
推撞（技能动作）,Shove??(skill action)
恶心（状态）,sickened(condition)
银（材料）,silver(material)
银币（sp）,silver piece (sp)
单动作,single action ()
体型,size
技能,skill
技能（特征）,skill(trait)
挥砍（伤害类型）,slashing(damage type)
睡眠（特征）,sleep(trait)
缓慢（状态）,slowed(condition)
小型（体型）,Small(size)
潜行（技能动作）,Sneak??(skill action)
社群（技能）,Society(skill)
音波（伤害类型）,sonic(damage type)
音波（特征）,sonic(trait)
银币（sp）,sp (silver piece)
空间,space
说话,speaking
特殊基础动作,specialty basic action
速度,Speed
法术,spell
法术攻击调整,spell attack modifier
法术DC,spell DC
法术书,spellbook
施法者,spellcaster
塑法（特征）,spellshape(trait)
精魂（伤害类型）,spirit(damage type)
精魂（特征）,spirit(trait)
溅射（特征）,splash(trait)
挤入（技能动作）,Squeeze?(skill action)
法杖（特征）,staff(trait)
阶段,stage
架势（特征）,stance(trait)
站立（基础动作）,Stand??(basic action)
数据表,stat block
状态加值,status bonus
状态减值,status penalty
盗窃（技能动作）,Steal??(skill action)
隐秘（技能）,Stealth(skill)
快步（基础动作）,Step?(basic action)
存放物品,stow an item
力量（Str）,Strength (Str)
行走（基础动作）,Stride??(basic action)
打击（基础动作）,Strike??(basic action)
构造物（特征）,structure(trait)
震慑（状态）,stunned(condition)
呆滞（状态）,stupefied(condition)
求生（技能动作）,Subsist(skill action)
晦匿（特征）,subtle(trait)
成功,success
窒息,suffocating
召唤（特征）,summon(trait)
被召唤（特征）,summoned(trait)
支援,Support?
生存（技能）,Survival(skill)
维持?（特殊基础动作）,Sustain?(specialty basic action)
维持效果（探索行动）,Sustain an Effect(exploration activity)
维持,sustained
交换物品,swap items
横扫（武器特征）,sweep(weapon trait)
游泳（技能动作）,Swim??(skill action)
寻找掩蔽（基础动作）,Take Cover??(basic action)
护符（特征）,talisman(trait)
目标,target
传送（特征）,teleportation(trait)
临时生命值,temporary Hit Points
临时免疫,temporary immunity
地形,terrain
贼活（技能）,Thievery(skill)
投掷（武器特征）,thrown(weapon trait)
超小型（体型）,Tiny(size)
工具包,toolkit
接触,touch
追踪（技能动作）,Track(skill action)
根源,tradition
受训（熟练度）,trained(proficiency rank)
特征,trait
陷阱（特征）,trap(trait)
旅行速度,travel Speed
治疗疾病（技能动作）,Treat Disease(skill action)
治疗中毒（技能动作）,Treat Poison??(skill action)
治疗伤势（技能动作）,Treat Wounds(skill action)
震颤感知（感官）,tremorsense(sense)
触发,trigger
摔绊（武器特征）,trip(weapon trait)
摔绊（技能动作）,Trip??(skill action)
翻滚（技能动作）,Tumble Through??(skill action)
回合,turn
成对（武器特征）,twin(weapon trait)
双手（武器特征）,two-hand(weapon trait)
无武装（武器特征）,unarmed(weapon trait)
无甲防御,unarmored defense
罕见（特征）,uncommon(trait)
失去意识（特征）,unconscious(condition)
不死（特征）,undead(trait)
水下战斗,underwater combat
无踪（状态）,undetected(condition)
不稳地面,uneven ground
不友善（状态）,unfriendly(condition)
邪秽（特征）,unholy(trait)
独特（特征）,unique(trait)
无限,unlimited
未发现（状态）,unnoticed(condition)
未受训（熟练度）,untrained(proficiency rank)
无类减值,untyped penalty
朦胧感官,vague sense
多用（武器特征）,versatile(weapon trait)
恶性（特征）,virulent(trait)
视觉（特征）,visual(trait)
命能（伤害类型）,vitality(damage type)
命能（特征）,vitality(trait)
虚能（伤害类型）,void(damage type)
虚能（特征）,void(trait)
远射（武器特征）,volley(weapon trait)
墙类法术,wall spells
魔杖（特征）,wand (trait)
水（特征）,water(trait)
弱点,weakness
武器,weapon
意志,Will
感知（Wis）,Wisdom (Wis)
女巫（职业）,witch(class)
女巫（特征）,witch(trait)
法师（职业）,wizard(class)
法师（特征）,wizard(trait)
木（特征）,wood(trait)
穿戴物品,worn item
受伤（状态）,wounded(condition)
阿巴达尔（神祇）,Abadar (deity)
末日荒原（位面）,Abaddon (plane)
艾巴萨罗姆,Absalom
成就经验,accomplishment XP
裁定规则,adjudicating rules
升级速度,advancement speeds
御衡者（特征）,aeon (trait)
阿基顿,Akiton
炼金（载具推进特征）,alchemical (vehicle propulsion trait)
阿尔古苏,alghollthu
阿肯斯塔,Alkenstar
安娜斯塔西亚,Anastasia
安多安,Andoran
天使,angel (trait)
巅峰物品（魔法物品）,apex item (magic item)
艾巴萨罗姆纪年,AR (Absalom reckoning)
阿拉兹尼,Arazni
阿卡迪亚,Arcadia
阿卡迪亚洋,Arcadian Ocean
圣使,archon (trait)
奈克斯弧光领主,Arclords of Nex
探索军团,Armies of Exploration
护甲（魔法物品）,armor (magic item)
奥罗登,Aroden
艺术品和宝石,art objects & gems
神器（特征）,artifact (trait)
阿斯摩蒂斯（神祇）,Asmodeus (deity)
性相,aspect
蛇徽财团（派系）,Aspis Consortium (faction)
星界（特征）,astral (trait)
星界（位面）,Astral Plane (plane)
无神论,atheism
奥克腾,Aucturn
自动增长加值,automatic bonus progression (variant)
雪崩,avalanche (natural disaster)
轴心枢纽（位面）,Axis (plane)
阿兹兰特,Azlant
芭芭-雅嘎,Baba Yaga
铃花会（派系）,Bellflower Network (faction)
暴雪（自然灾害）,blizzard (natural disaster)
血湾港,Bloodcove
骨园,Boneyard (plane)
布雷斡,Brevoy
耀狮会,Bright Lions
破碎之地,Broken Lands
卡利斯翠（神祇）,Calistria (deity)
卡斯马隆,Casmaron
卡斯卓韦,Castrovel
凯登·凯连（神祇）,Cayden Cailean (deity)
创建角色,character creation
追逐（子系统）,chase (subsystem)
作弊,cheating
切利亚斯,Cheliax
城市,cities
城市（特征）,city (trait)
文明（创建世界）,civilization (building worlds)
气候,climate
寒冷（气候）,cold (climate)
协作,collaboration
塌方（自然灾害）,collapse (natural disaster)
伙伴（特征）,companion (trait)
伙伴物品（魔法物品）,companion item (magic item)
复杂,complex (trait)
宇宙学,cosmology
创生熔炉,Creation’s Forge (plane)
世界之冠,Crown of the World
被诅咒（特征）,cursed (trait)
幽暗地域,Darklands
一周的每一天,days of the week
德斯卡利,Deskari
黛丝娜（神祇）,Desna (deity)
时间次元（次元）,Dimension of Time (dimension)
次元,dimensions
残疾,disabilities
灾害,disaster
门，大门和墙壁,"doors, gates, and walls"
梦境（特征）,dream (trait)
幻梦境（次元）,Dreamlands (dimension)
杜鲁玛,Druma
决斗（子系统）,duels (subsystem)
地下城（环境）,dungeon (environment)
夕木（材料）,duskwood (material)
雄鹰骑士（派系）,Eagle Knights (faction)
星陨之灾,Earthfall
地震（自然灾害）,earthquake (natural disaster)
极乐境（位面）,Elysium (plane)
增强魔法,enhanced magic
环境,environment
环境（特征）,environmental (trait)
艾拉斯蒂尔（神祇）,Erastil (deity)
不稳定（特征）,erratic (trait)
圣眼秘修会（派系）,Esoteric Order of the Palatine Eye (faction)
灵界（位面）,Ethereal Plane (plane)
膨胀（特征）,expandable (trait)
极端威胁（遭遇威胁）,extreme (encounter threat)
阿本迪戈暴风眼,Eye of Abendego
惊骇之眼,Eye of Dread
终结之刃,final blades
有限（特征）,finite (trait)
燎原党（派系）,Firebrands (faction)
第一世界（位面）,First World (plane)
五王山脉,Five Kings Mountains
洪水（自然灾害）,flood (natural disaster)
流动（特征）,flowing (trait)
聚能物（特征）,focused (trait)
雾（气候）,fog (climate)
免费变体（可选规则）,free archetype (variant)
镣铐群岛的自由船长（派系）,Free Captains of the Shackles (faction)
伽尔特,Galt
伽仑德,Garund
大门，门和墙壁,"gates, doors, and walls"
盖布,Geb
宝石和艺术品,gems & art objects
巨灵,genie
赋礼,gift
光辉复国,Glorious Reclamation
地精血战,Goblinblood Wars
过峡,Goka
黄金之路,Golden Road
古拉姆（神祇）,Gorum (deity)
哥兹莱（神祇）,Gozreh (deity)
死坟末土,Gravelands
浩瀚众界,Great Beyond
苍翠誓约,Green Faith
网格和微缩模型,grids and miniatures
队伍构成,group composition
热（气候）,heat (climate)
七重天堂（位面）,Heaven (plane)
手持物品（魔法物品）,held item (magic item)
九层地狱（位面）,Hell (plane)
地狱骑士（派系）,Hellknights (faction)
赫迷亚,Hermea
六角格探索（子系统）,hexploration (subsystem)
高重力（特征）,high gravity (trait)
公海,High Seas
贝尔克赞堡垒,Hold of Belkzen
房规,house rules
人类族群,human ethnicities
飓风女王,Hurricane Queen
伊利兹马格罗提,Ilizmagorti
无限（特征）,immeasurable (trait)
削弱魔法,impeded magic
惊世奇土,Impossible Lands
虚体（特征）,incorporeal (trait)
渗透（子系统）,infiltration (subsystem)
影响力（子系统）,influence (subsystem)
摄入（特征）,ingested (trait)
内海,Inner Sea
智能（特征）,intelligent (trait)
智能物品（魔法物品）,intelligent item (magic item)
绑定（特征）,invested (trait)
艾奥梅黛（神祇）,Iomedae (deity)
义洛理（神祇）,Irori (deity)
伊莉森,Irrisen
伊斯嘉,Isger
寇托斯岛,Isle of Kortos
恐惧之岛,Isle of Terror
以西亚,Issia
扎摩诔,Jalmeray
卡利斯拉德,Kalistrade
卡祖格,Karzoug
卡塔佩什,Katapesh
珂莱士,Kelesh
凯立德,Kellid
基布伟,Kibwe
终焉之墙骑士（派系）,Knights of Lastwall (faction)
狗头人,kobold
寇托斯,Kortos
奇奥尼,Kyonin
恩卡坦湖,Lake Encarthan
拉玛什图（神祇）,Lamashtu (deity)
蛇龙诸王之地,Lands of the Linnorm Kings
终焉之墙,Lastwall
领导（子系统）,leadership (subsystem)
底线和避讳,lines and veils
狮子剑（派系）,Lion Blades (faction)
利尔根,Lirgen
低度威胁（遭遇威胁）,low (encounter threat)
低重力（特征）,low gravity (trait)
大漩涡（位面）,Maelstrom (plane)
玛甘比（派系）,Magaambya (faction)
魔法（载具推进特征）,magical (vehicle propulsion trait)
法力废土,Mana Wastes
地图和微缩模型,maps and miniatures
材料,materials
梅迪奥伽尔提岛,Mediogalti Island
蒙蒂维,Mendev
超游,metagaming
转变（特征）,metamorphic (trait)
大都市（特征）,metropolis (trait)
微重力（特征）,microgravity (trait)
微缩模型和地图,miniatures and maps
最小熟练度,minimum proficiency
厄运,misfortune (trait)
中等威胁（遭遇威胁）,moderate (encounter threat)
摩尔苏恩,Molthune
月份和日期,months and days
莫丹特尖塔,Mordant Spire
芒吉莽原,Mwangi Expanse
玛扎利,Mzali
那塔穆博,Nantambu
叙述协作,narrative collaboration
国家数据,nation statistics
自然灾害,natural disaster
影界（位面）,Netherworld (plane)
内希斯（神祇）,Nethys (deity)
新瑟西隆,New Thassilon
奈克斯,Nex
奈多,Nidal
暗夜先驱（派系）,Night Heralds (faction)
涅玛萨斯,Nirmathas
涅槃境（位面）,Nirvana (plane)
非战斗等级,non-combat level
诺格巴（神祇）,Norgorber (deity)
纽梅利亚,Numeria
欧巴利洋,Obari Ocean
旧切利亚斯,Old Cheliax
老法师贾特比,Old-Mage Jatembe
奥普拉克,Oprak
奥斯里昂,Osirion
奥塔里（聚居地）,Otari (settlement)
外层裂隙（位面）,Outer Rifts (plane)
契主,Pactmasters
珂莱士的帕迪莎帝国,Padishah Empire of Kelesh
团队秩序,party order
开拓者协会（派系）,Pathfinder Society (faction)
法莱斯玛（神祇）,Pharasma (deity)
守望者之柱,Pillar-Watchers
位面子嗣,planar scion
气元素位面（位面）,Plane of Air (plane)
土元素位面（位面）,Plane of Earth (plane)
火元素位面（位面）,Plane of Fire (plane)
金元素位面（位面）,Plane of Metal (plane)
水元素位面（位面）,Plane of Water (plane)
木元素位面（位面）,Plane of Wood (plane)
星球,planets
亡命港（聚居地）,Port Peril (settlement)
药水（魔法物品）,potion (magic item)
珍贵（特征）,precious (trait)
降水（气候）,precipitation (climate)
寄望城,Promise
幻蛇,protean (trait)
招魂者,psychopomp (trait)
拖拽（载具推进特征）,pulled (vehicle propulsion trait)
寻天之旅,Quest for Sky
拉哈多姆,Rahadoum
雨（气候）,rain (climate)
瑞瓦诺,Ravounel
拉兹密尔,Razmir
拉兹密安,Razmiran
猛犸诸王国度,Realms of the Mammoth Lords
鲁莽（特征）,reckless (trait)
红螳螂（派系）,Red Mantis (faction)
宗教,religion
声望（子系统）,reputation (subsystem)
研究（子系统）,research (subsystem)
解决问题,resolving problems
奖励,rewards
河域诸国,River Kingdoms
罗斯特兰,Rostland
流程（危害）,routine (hazards)
洛瓦古格（神祇）,Rovagug (deity)
划桨（载具推进特征）,rowed (vehicle propulsion trait)
符文领主,runelord
鲁萨泽克,Ruthazek
传说之地,Saga Lands
沙盒游戏,sandbox games
沙暴（自然灾害）,sandstorm (natural disaster)
塞恩蕾（神祇）,Sarenrae (deity)
萨加瓦,Sargava
萨克里斯,Sarkoris
瑟茹珊,Sarusan
斯科扎尼（派系）,Sczarni (faction)
种子,seed
森格霍尔,Senghor
知觉（特征）,sentient (trait)
蛇人,serpentfolk
设定,setting
聚居地,settlements
严重威胁（遭遇威胁）,severe (encounter threat)
镣铐群岛,Shackles
残影（特征）,shade (trait)
莎琳（神祇）,Shelyn (deity)
